,Time (s),Power (Watts)
0,0.0,1.35196e-09
1,0.003,4.5069e-09
2,0.004,4.5069e-09
3,0.005,2.92888e-09
4,0.007,1.35196e-09
5,0.008,2.92888e-09
6,0.01,1.35196e-09
7,0.012,2.92888e-09
8,0.013,2.92888e-09
9,0.014,2.92888e-09
10,0.015,4.5069e-09
11,0.016,2.92888e-09
12,0.017,9.23877e-09
13,0.018,2.92888e-09
14,0.019,2.92888e-09
15,0.02,2.92888e-09
16,0.022,4.5069e-09
17,0.024,2.92888e-09
18,0.026,6.08382e-09
19,0.028,4.5069e-09
20,0.029,2.92888e-09
21,0.03,2.92888e-09
22,0.031,7.66184e-09
23,0.032,2.92888e-09
24,0.033,2.92888e-09
25,0.034,7.66184e-09
26,0.035,2.92888e-09
27,0.036,1.35196e-09
28,0.038,6.08382e-09
29,0.04,1.35196e-09
30,0.041,2.92888e-09
31,0.042,4.5069e-09
32,0.044,4.5069e-09
33,0.045,4.5069e-09
34,0.046,4.5069e-09
35,0.047,2.92888e-09
36,0.048,4.5069e-09
37,0.049,2.92888e-09
38,0.05,2.92888e-09
39,0.051,1.35196e-09
40,0.053,1.35196e-09
41,0.055,2.92888e-09
42,0.057,1.35196e-09
43,0.059,2.92888e-09
44,0.061,6.08382e-09
45,0.063,2.92888e-09
46,0.064,2.92888e-09
47,0.066,2.92888e-09
48,0.068,2.92888e-09
49,0.07,7.66184e-09
50,0.072,1.35196e-09
51,0.074,1.35196e-09
52,0.076,1.23937e-08
53,0.077,1.35196e-09
54,0.079,2.92888e-09
55,0.08,2.92888e-09
56,0.082,4.5069e-09
57,0.084,2.92888e-09
58,0.086,6.08382e-09
59,0.088,2.92888e-09
60,0.091,1.35196e-09
61,0.092,1.35196e-09
62,0.094,2.92888e-09
63,0.095,2.92888e-09
64,0.097,2.92888e-09
65,0.099,7.66184e-09
66,0.101,2.92888e-09
67,0.103,2.92888e-09
68,0.105,4.5069e-09
69,0.107,4.5069e-09
70,0.109,4.5069e-09
71,0.111,-2.24961e-10
72,0.113,4.5069e-09
73,0.115,4.5069e-09
74,0.117,6.08382e-09
75,0.119,2.92888e-09
76,0.121,2.92888e-09
77,0.123,2.92888e-09
78,0.125,1.35196e-09
79,0.126,2.92888e-09
80,0.128,4.5069e-09
81,0.13,-2.24961e-10
82,0.132,2.92888e-09
83,0.134,1.35196e-09
84,0.136,4.5069e-09
85,0.138,1.35196e-09
86,0.139,1.35196e-09
87,0.141,2.92888e-09
88,0.143,1.35196e-09
89,0.144,4.5069e-09
90,0.145,1.35196e-09
91,0.146,7.66184e-09
92,0.148,2.92888e-09
93,0.15,4.5069e-09
94,0.152,-2.24961e-10
95,0.153,2.92888e-09
96,0.154,2.92888e-09
97,0.156,2.92888e-09
98,0.157,2.92888e-09
99,0.159,2.92888e-09
100,0.161,2.92888e-09
101,0.164,2.92888e-09
102,0.165,2.92888e-09
103,0.168,4.5069e-09
104,0.169,1.35196e-09
105,0.171,1.35196e-09
106,0.173,2.92888e-09
107,0.175,1.35196e-09
108,0.178,2.92888e-09
109,0.179,2.92888e-09
110,0.182,2.92888e-09
111,0.183,2.92888e-09
112,0.185,2.92888e-09
113,0.187,-2.24961e-10
114,0.188,4.5069e-09
115,0.191,2.92888e-09
116,0.192,4.5069e-09
117,0.194,2.92888e-09
118,0.196,6.08382e-09
119,0.198,4.5069e-09
120,0.2,2.92888e-09
121,0.202,2.92888e-09
122,0.204,2.92888e-09
123,0.206,2.92888e-09
124,0.208,4.5069e-09
125,0.21,9.23877e-09
126,0.212,2.92888e-09
127,0.214,2.92888e-09
128,0.215,2.92888e-09
129,0.217,2.92888e-09
130,0.219,6.08382e-09
131,0.221,1.35196e-09
132,0.223,1.35196e-09
133,0.225,1.35196e-09
