,Time (s),Power (Watts)
0,0.001,2.92888e-09
1,0.002,4.5069e-09
2,0.003,2.92888e-09
3,0.006,4.5069e-09
4,0.008,4.5069e-09
5,0.01,1.35196e-09
6,0.012,-2.24961e-10
7,0.014,1.35196e-09
8,0.016,2.92888e-09
9,0.018,-2.24961e-10
10,0.02,1.35196e-09
11,0.021,1.35196e-09
12,0.024,-2.24961e-10
13,0.025,2.92888e-09
14,0.027,1.35196e-09
15,0.028,1.35196e-09
16,0.031,1.35196e-09
17,0.032,2.92888e-09
18,0.033,1.35196e-09
19,0.034,1.35196e-09
20,0.035,-2.24961e-10
21,0.036,1.35196e-09
22,0.038,1.35196e-09
23,0.04,-2.24961e-10
24,0.041,1.35196e-09
25,0.044,1.35196e-09
26,0.046,2.92888e-09
27,0.048,1.35196e-09
28,0.05,2.92888e-09
29,0.052,1.35196e-09
30,0.054,6.08382e-09
31,0.056,2.92888e-09
32,0.058,1.35196e-09
33,0.06,2.92888e-09
34,0.061,1.35196e-09
35,0.064,7.66184e-09
36,0.066,1.35196e-09
37,0.068,1.35196e-09
38,0.07,4.5069e-09
39,0.072,6.08382e-09
40,0.074,-1.80298e-09
41,0.076,1.35196e-09
42,0.078,2.92888e-09
43,0.08,4.5069e-09
44,0.082,1.35196e-09
45,0.084,-2.24961e-10
46,0.085,1.35196e-09
47,0.087,-2.24961e-10
48,0.089,-2.24961e-10
49,0.091,1.35196e-09
50,0.092,-3.3799e-09
51,0.094,1.35196e-09
52,0.096,1.35196e-09
53,0.098,-1.80298e-09
54,0.1,2.92888e-09
55,0.102,2.92888e-09
56,0.104,1.35196e-09
57,0.106,1.35196e-09
58,0.108,-2.24961e-10
59,0.11,6.08382e-09
60,0.112,-2.24961e-10
61,0.113,1.35196e-09
62,0.115,2.92888e-09
63,0.117,2.92888e-09
64,0.119,-2.24961e-10
65,0.12,1.35196e-09
66,0.122,1.35196e-09
67,0.124,1.35196e-09
68,0.126,-1.80298e-09
69,0.128,1.35196e-09
70,0.13,2.92888e-09
71,0.131,-2.24961e-10
72,0.133,1.35196e-09
73,0.135,1.35196e-09
74,0.136,-2.24961e-10
75,0.138,1.35196e-09
76,0.14,-1.80298e-09
77,0.141,1.35196e-09
78,0.143,1.35196e-09
79,0.145,6.08382e-09
80,0.147,1.35196e-09
81,0.149,1.35196e-09
82,0.151,1.35196e-09
83,0.153,1.35196e-09
84,0.155,2.92888e-09
85,0.157,1.35196e-09
86,0.159,2.92888e-09
87,0.161,2.92888e-09
88,0.163,1.35196e-09
89,0.165,1.35196e-09
90,0.167,2.92888e-09
91,0.169,1.35196e-09
92,0.171,1.35196e-09
93,0.173,-1.80298e-09
94,0.174,1.35196e-09
95,0.176,4.5069e-09
96,0.178,1.35196e-09
97,0.18,1.35196e-09
98,0.182,4.5069e-09
99,0.184,1.35196e-09
100,0.186,-2.24961e-10
101,0.187,6.08382e-09
102,0.19,2.92888e-09
103,0.192,2.92888e-09
104,0.193,1.35196e-09
105,0.195,2.92888e-09
106,0.197,1.35196e-09
107,0.199,1.35196e-09
108,0.201,1.35196e-09
109,0.203,6.08382e-09
110,0.205,6.08382e-09
111,0.207,1.35196e-09
112,0.209,2.92888e-09
113,0.211,2.92888e-09
114,0.213,1.35196e-09
115,0.215,1.35196e-09
116,0.217,1.35196e-09
117,0.219,-2.24961e-10
118,0.22,4.5069e-09
119,0.222,-2.24961e-10
120,0.224,1.35196e-09
121,0.226,9.23877e-09
122,0.228,1.35196e-09
123,0.23,1.35196e-09
124,0.232,2.92888e-09
125,0.234,-2.24961e-10
126,0.235,6.08382e-09
127,0.237,4.5069e-09
128,0.239,-2.24961e-10
129,0.241,1.35196e-09
130,0.243,-2.24961e-10
131,0.244,-2.24961e-10
132,0.246,2.92888e-09
133,0.248,2.92888e-09
134,0.249,1.35196e-09
135,0.252,-2.24961e-10
136,0.254,-2.24961e-10
137,0.256,1.35196e-09
138,0.258,1.35196e-09
139,0.26,2.92888e-09
140,0.262,4.5069e-09
141,0.264,1.35196e-09
142,0.266,1.35196e-09
143,0.268,-1.80298e-09
144,0.27,1.35196e-09
145,0.272,6.08382e-09
146,0.274,-2.24961e-10
147,0.276,1.35196e-09
148,0.278,4.5069e-09
149,0.28,-2.24961e-10
150,0.282,1.35196e-09
151,0.284,1.35196e-09
152,0.286,2.92888e-09
153,0.288,1.35196e-09
154,0.29,-2.24961e-10
155,0.291,1.35196e-09
156,0.293,-1.80298e-09
157,0.295,1.35196e-09
158,0.297,4.5069e-09
159,0.299,1.35196e-09
160,0.301,-2.24961e-10
161,0.302,-2.24961e-10
162,0.304,2.92888e-09
163,0.305,1.35196e-09
